doc_id	entity_text	label	should_propose	notes
en_indictment_procurement_fraud_002	Achim Gotthard	PERSON	yes	person
en_indictment_procurement_fraud_002	Bernfried Holzapfel	PERSON	yes	person
en_indictment_procurement_fraud_002	Ingo Heinrich	PERSON	yes	person
en_indictment_procurement_fraud_002	Letizia Gianvecchio	PERSON	yes	person
en_indictment_procurement_fraud_002	Olivie Garcia	PERSON	yes	person
en_indictment_procurement_fraud_002	GIMENEZ DUMONT LIMITED	ORG	yes	organisation
en_indictment_procurement_fraud_002	SCHEUERMANN KOBELT INTERNATIONAL LTD	ORG	yes	organisation
en_indictment_procurement_fraud_002	TOSELLI GROUP LTD	ORG	yes	organisation
en_indictment_procurement_fraud_002	CPS/2024/3947	CASE_REFERENCE	yes	case number
en_indictment_procurement_fraud_002	C/2026/8391	CASE_REFERENCE	yes	cross reference
en_indictment_procurement_fraud_002	27 May 2025	DATE	yes	date
en_indictment_procurement_fraud_002	19 February 1982	DATE	yes	date
en_indictment_procurement_fraud_002	2 March 1961	DATE	yes	date
en_indictment_procurement_fraud_002	26 December 1968	DATE	yes	date
en_indictment_procurement_fraud_002	9 January 1990	DATE	yes	date
en_indictment_procurement_fraud_002	22 January 1989	DATE	yes	date
en_indictment_procurement_fraud_002	18 August 2025	DATE	yes	date
en_indictment_procurement_fraud_002	21 March 2026	DATE	yes	date
en_indictment_procurement_fraud_002	£588,395	AMOUNT	yes	amount
en_indictment_procurement_fraud_002	£138,186	AMOUNT	yes	amount
en_indictment_procurement_fraud_002	£405,234	AMOUNT	yes	amount
en_indictment_procurement_fraud_002	£183,161	AMOUNT	yes	amount
en_indictment_procurement_fraud_002	Dr Holzapfel	TITLE	yes	title
en_indictment_procurement_fraud_002	Mr Gianvecchio	TITLE	yes	title
en_indictment_procurement_fraud_002	Ms Garcia	TITLE	yes	title
en_indictment_procurement_fraud_002	Mr Holzapfel	TITLE	yes	title
en_indictment_procurement_fraud_002	24, chemin de Lopes	ADDRESS	yes	address
en_indictment_procurement_fraud_002	24, chemin de Lopes, Saint Alphonse 80177	ADDRESS	yes	address
en_indictment_procurement_fraud_002	8, boulevard de Lejeune	ADDRESS	yes	address
en_indictment_procurement_fraud_002	8, boulevard de Lejeune, Texier-les-Bains 32769	ADDRESS	yes	address
en_indictment_procurement_fraud_002	Canale Falloppio, 7 Piano 1	ADDRESS	yes	address
en_indictment_procurement_fraud_002	Canale Falloppio, 7 Piano 1, Tavoleto 83043	ADDRESS	yes	address
en_indictment_procurement_fraud_002	Fürstenwalde 70743	ADDRESS	yes	address
en_indictment_procurement_fraud_002	Gnatzplatz 97-13	ADDRESS	yes	address
en_indictment_procurement_fraud_002	Gnatzplatz 97-13, Fürstenwalde 70743	ADDRESS	yes	address
en_indictment_procurement_fraud_002	Leofara 30034	ADDRESS	yes	address
en_indictment_procurement_fraud_002	Rosalia-Huhn-Ring 79/56	ADDRESS	yes	address
en_indictment_procurement_fraud_002	Rosalia-Huhn-Ring 79/56, Warendorf 11636	ADDRESS	yes	address
en_indictment_procurement_fraud_002	Saint Alphonse 80177	ADDRESS	yes	address
en_indictment_procurement_fraud_002	Tavoleto 83043	ADDRESS	yes	address
en_indictment_procurement_fraud_002	Texier-les-Bains 32769	ADDRESS	yes	address
en_indictment_procurement_fraud_002	Vicolo Albertini, 35 Appartamento 5	ADDRESS	yes	address
en_indictment_procurement_fraud_002	Vicolo Albertini, 35 Appartamento 5, Leofara 30034	ADDRESS	yes	address
en_indictment_procurement_fraud_002	Warendorf 11636	ADDRESS	yes	address
en_indictment_procurement_fraud_002	DE363340720	VAT	yes	vat
en_indictment_procurement_fraud_002	FRL9409691245	VAT	yes	vat
en_indictment_procurement_fraud_002	IT61296249917	VAT	yes	vat
en_indictment_procurement_fraud_002	Serious Fraud Office	NEGATIVE_CONTROL	no	prosecution
en_indictment_procurement_fraud_002	Crown Court at Birmingham	NEGATIVE_CONTROL	no	court
en_indictment_procurement_fraud_002	B.H	INITIAL	yes	initial surface form
en_indictment_procurement_fraud_002	L.G	INITIAL	yes	initial surface form
en_indictment_procurement_fraud_002	O.G	INITIAL	yes	initial surface form
